  -2.00000000       0.00000000       1.00000000       0.00000000    
  -2.09603190       4.45796359E-05   1.08412695      0.149821684    
  -2.18415928       4.13574686E-04   1.13663614      0.298345685    
  -2.26477194       1.41637609E-03   1.15908635      0.444334477    
  -2.33816743       3.31735145E-03   1.15266740      0.586730599    
  -2.40456891       6.35500578E-03   1.11827278      0.724580050    
  -2.46413732       1.07556116E-02   1.05654621      0.856977642    
  -2.51697922       1.67439543E-02  0.967914283      0.983024299    
  -2.56315207       2.45528817E-02  0.852605522       1.10178840    
  -2.60266614       3.44328731E-02  0.710660696       1.21226835    
  -2.63548446       4.66628522E-02  0.541933775       1.31334841    
  -2.66152239       6.15635999E-02  0.346085489       1.40374541    
  -2.68064308       7.95157924E-02  0.122568637       1.48193657    
  -2.69265223      0.100985780     -0.129395559       1.54605663    
  -2.69728875      0.126564786     -0.410849094       1.59374070    
  -2.69421792      0.157031745     -0.723133147       1.62187290    
  -2.68302369      0.193461075      -1.06790996       1.62615550    
  -2.66322660      0.237420574      -1.44709909       1.60031748    
  -2.63439083      0.291364044      -1.86244226       1.53454363    
  -2.59664392      0.359448940      -2.31342983       1.41220391    
  -2.55309772      0.448836923      -2.78761554       1.20465219    
  -2.51732254      0.566040397      -3.23071694      0.885838330    
  -2.50712562      0.699125767      -3.57150459      0.503496706    
  -2.52068329      0.830382168      -3.81727338      0.128471121    
  -2.55016899      0.954057157      -3.99933052     -0.216228575    
  -2.59066439       1.06934834      -4.13734913     -0.527392268    
  -2.63931417       1.17651963      -4.24275064     -0.806077302    
  -2.69433737       1.27601230      -4.32265902      -1.05404782    
  -2.75453830       1.36824548      -4.38185406      -1.27298009    
  -2.81906676       1.45357513      -4.42373991      -1.46429825    
  -2.88728786       1.53229153      -4.45085526      -1.62916374    
  -2.95870972       1.60462654      -4.46516848      -1.76850343    
  -3.03293777       1.67076063      -4.46825695      -1.88303983    
  -3.10964680       1.73082995      -4.46142054      -1.97331762    
  -3.18856192       1.78493142      -4.44576073      -2.03972387    
  -3.26944423       1.83312607      -4.42223167      -2.08250260    
  -3.35208130       1.87544143      -4.39168406      -2.10176468    
  -3.43627882       1.91187298      -4.35489321      -2.09749103    
  -3.52185488       1.94238377      -4.31258821      -2.06953382    
  -3.60863352       1.96690345      -4.26547337      -2.01761293    
  -3.69643950       1.98532641      -4.21424961      -1.94130468    
  -3.78509140       1.99750721      -4.15964222      -1.84002805    
  -3.87439513       2.00325584      -4.10242796      -1.71302259    
  -3.96413422       2.00232959      -4.04347181      -1.55931652    
  -4.05405760       1.99442101      -3.98377991      -1.37768245    
  -4.14385939       1.97914445      -3.92457294      -1.16657567    
  -4.23315096       1.95601237      -3.86740661     -0.924046814    
  -4.32141161       1.92440522      -3.81436372     -0.647617579    
  -4.40790129       1.88352823      -3.76840305     -0.334108710    
  -4.49149656       1.83235574      -3.73402047       2.05813050E-02
  -4.57034588       1.76958799      -3.71862435      0.421651900    
  -4.64109468       1.69378138      -3.73562837      0.874878228    
  -4.69725418       1.60460103      -3.81099033       1.38159966    
  -4.72884655       1.50860226      -3.98461986       1.91559446    
  -4.73492718       1.42323494      -4.26029634       2.40706325    
  -4.72875500       1.35762942      -4.58498430       2.81948543    
  -4.71984053       1.30945516      -4.92064142       3.16218281    
  -4.71197224       1.27507496      -5.25211382       3.44970345    
  -4.70663357       1.25183785      -5.57346821       3.69265175    
  -4.70445538       1.23791242      -5.88218069       3.89835405    
  -4.70572329       1.23199773      -6.17710876       4.07201290    
  -4.71057177       1.23313606      -6.45771551       4.21745872    
  -4.71906567       1.24059975      -6.72374058       4.33760452    
  -4.73123837       1.25381958      -6.97505188       4.43472528    
  -4.74711037       1.27234137      -7.21156359       4.51063871    
  -4.76670074       1.29579556      -7.43320179       4.56682205    
  -4.79003191       1.32387757      -7.63987684       4.60449409    
  -4.81713247       1.35633278      -7.83147335       4.62467241    
  -4.84804106       1.39294672      -8.00783825       4.62821579    
  -4.88280678       1.43353724      -8.16877556       4.61585379    
  -4.92149115       1.47794843      -8.31403637       4.58820915    
  -4.96417093       1.52604616      -8.44331646       4.54581881    
  -5.01093864       1.57771468      -8.55624390       4.48914433    
  -5.06190538       1.63285375      -8.65237617       4.41858912    
  -5.11720371       1.69137537      -8.73118114       4.33450365    
  -5.17699146       1.75320244      -8.79202938       4.23719645    
  -5.24145603       1.81826532      -8.83417225       4.12694502    
  -5.31082058       1.88650012      -8.85671425       4.00400448    
  -5.38535166       1.95784557      -8.85858727       3.86862230    
  -5.46537352       2.03223825      -8.83850193       3.72105265    
  -5.55127764       2.10960531      -8.79488564       3.56158400    
  -5.64354944       2.18985605      -8.72579861       3.39058113    
  -5.74279785       2.27286243      -8.62880611       3.20855427    
  -5.84980011       2.35842919      -8.50079536       3.01628757    
  -5.96557808       2.44622946      -8.33768654       2.81508613    
  -6.09150076       2.53567886      -8.13399792       2.60728836    
  -6.22944736       2.62564397      -7.88221169       2.39742804    
  -6.38193846       2.71372652      -7.57224846       2.19509840    
  -6.55156755       2.79453421      -7.19373274       2.02186775    
  -6.73664808       2.85777950      -6.75341034       1.91888618    
  -6.92449236       2.89596820      -6.30203438       1.91613197    
  -7.10249710       2.91475773      -5.89001560       1.99097323    
  -7.26764727       2.92252493      -5.52941561       2.10990453    
  -7.42083979       2.92420793      -5.21664524       2.25317216    
  -7.56347656       2.92243171      -4.94609928       2.41027808    
  -7.69676781       2.91868329      -4.71293354       2.57527184    
  -7.82167530       2.91387701      -4.51330280       2.74449778    
  -7.93895626       2.90861392      -4.34417915       2.91554952    
